producing

root@kafk00perf10-vio-bk:/opt/kafka/bin# kafka-producer-perf-test --topic example --producer.config /opt/kafka/config/client-ssl1.properties --num-records 1000000 --throughput -1 --record-size 10000
3868 records sent, 773.6 records/sec (7.38 MB/sec), 2815.3 ms avg latency, 6721.0 ms max latency.
3758 records sent, 751.6 records/sec (7.17 MB/sec), 2598.2 ms avg latency, 6271.0 ms max latency.
3976 records sent, 794.9 records/sec (7.58 MB/sec), 2670.2 ms avg latency, 6299.0 ms max latency.
3849 records sent, 769.6 records/sec (7.34 MB/sec), 2685.4 ms avg latency, 6326.0 ms max latency.
3723 records sent, 744.6 records/sec (7.10 MB/sec), 2607.6 ms avg latency, 6400.0 ms max latency.
1325 records sent, 264.9 records/sec (2.53 MB/sec), 4368.2 ms avg latency, 8787.0 ms max latency.
3607 records sent, 721.3 records/sec (6.88 MB/sec), 4195.2 ms avg latency, 9608.0 ms max latency.
3452 records sent, 690.4 records/sec (6.58 MB/sec), 3032.0 ms avg latency, 9463.0 ms max latency.
3682 records sent, 736.3 records/sec (7.02 MB/sec), 2889.7 ms avg latency, 6121.0 ms max latency.
3220 records sent, 643.5 records/sec (6.14 MB/sec), 2914.8 ms avg latency, 6153.0 ms max latency.
2858 records sent, 571.4 records/sec (5.45 MB/sec), 3616.2 ms avg latency, 7565.0 ms max latency.
3522 records sent, 704.4 records/sec (6.72 MB/sec), 3101.7 ms avg latency, 7279.0 ms max latency.
3630 records sent, 725.9 records/sec (6.92 MB/sec), 2807.3 ms avg latency, 5814.0 ms max latency.
3521 records sent, 704.1 records/sec (6.71 MB/sec), 2874.6 ms avg latency, 5885.0 ms max latency.
3554 records sent, 710.8 records/sec (6.78 MB/sec), 2974.3 ms avg latency, 6058.0 ms max latency.
3179 records sent, 633.1 records/sec (6.04 MB/sec), 3069.8 ms avg latency, 6152.0 ms max latency.
1322 records sent, 261.2 records/sec (2.49 MB/sec), 4921.9 ms avg latency, 8801.0 ms max latency.
903 records sent, 180.5 records/sec (1.72 MB/sec), 6808.3 ms avg latency, 13058.0 ms max latency.
1410 records sent, 281.9 records/sec (2.69 MB/sec), 9183.3 ms avg latency, 15242.0 ms max latency.
2175 records sent, 435.0 records/sec (4.15 MB/sec), 7052.5 ms avg latency, 14789.0 ms max latency.
2061 records sent, 412.2 records/sec (3.93 MB/sec), 4095.6 ms avg latency, 8937.0 ms max latency.
2408 records sent, 481.2 records/sec (4.59 MB/sec), 4949.1 ms avg latency, 9456.0 ms max latency.
1370 records sent, 259.0 records/sec (2.47 MB/sec), 4646.9 ms avg latency, 9923.0 ms max latency.
1268 records sent, 253.5 records/sec (2.42 MB/sec), 6625.9 ms avg latency, 11390.0 ms max latency.
1915 records sent, 383.0 records/sec (3.65 MB/sec), 7129.5 ms avg latency, 11959.0 ms max latency.
1371 records sent, 274.0 records/sec (2.61 MB/sec), 5488.7 ms avg latency, 11005.0 ms max latency.
2090 records sent, 416.6 records/sec (3.97 MB/sec), 6069.4 ms avg latency, 12032.0 ms max latency.
2083 records sent, 414.6 records/sec (3.95 MB/sec), 5166.0 ms avg latency, 12153.0 ms max latency.
2088 records sent, 417.5 records/sec (3.98 MB/sec), 4283.9 ms avg latency, 10783.0 ms max latency.
3004 records sent, 600.6 records/sec (5.73 MB/sec), 4303.4 ms avg latency, 11554.0 ms max latency.
3397 records sent, 679.3 records/sec (6.48 MB/sec), 3248.4 ms avg latency, 9274.0 ms max latency.
